room_id_name,room_id_difficulty,room_id_tools,room_id_description,room_id_practical_applicability,room_id_lessons_learnt,room_id_user_opinions
Dav,easy,['WebDAV exploitation tools'],"- RFC room assessment requires deep understanding of IETF standards like RFC 791 (IP), RFC 793 (TCP), and RFC 2616 (HTTP/1.1). Reconnaissance involves identifying service banners to determine versioning and potential vulnerabilities based on known RFC compliance issues or outdated implementations. Enumeration steps mandate querying DNS using theHarvester for SRV records or examining custom protocol headers identified via packet capture (e.g., Wireshark). Exploitation focuses on protocol misinterpretations or edge case handling allowed by the specification; for example, sending malformed packets that deviate from RFC specifications to induce denial of service (DoS). Practical implementation utilizes nmap scripts (e.g., versions or script.ls() to find protocol details) and manual socket programming to craft non-standard requests to test server robustness against RFC violations, bypassing application-level filters. Enhancement involves cross-referencing tool output with draft or obsolete RFCs to predict implementation errors. (224 words; Tools Context: nmap, theHarvester, Wireshark (implied), manual sockets. Methodology: Protocol standard compliance testing, banner grabbing, socket level fuzzing. Implementation: Analyzing SRV records, crafting malformed TCP/IP packets).,RFC","WebDAV vulnerabilities, file upload attacks, web exploitation","['WebDAV enumeration', 'file upload exploitation', 'webshell deployment']",Good introduction to WebDAV attacks
DDoS,easy,['DDoS concepts (no actual attacks)'],"- ROP Primer exploitation hinges on bypassing NX bit protection using Return-Oriented Programming chains. Reconnaissance involves static analysis with Ghidra or IDA Pro to locate vulnerable functions and determine stack offset via pattern creation (e.g., Metasploit's pattern_create). Enumeration requires identifying gadgets (RET, POP reg; e.g., Ropgadget tool) within the executable or linked libraries (libc). Exploitation implementation involves constructing the ROP chain to overwrite the return address with the address of the first gadget, followed by arguments for the target function (e.g., system('/bin/sh')). Pwntools is the primary tool for automation, calculating dynamic addresses if PIE is present, and sending the payload via process interaction. Enhancement methodology focuses on handling ASLR via information leaks (e.g., GOT overwrite) to resolve libc base address before chain execution. (218 words; Tools Context: Ghidra, IDA Pro, Ropgadget, Pwntools, Metasploit utilities. Methodology: Stack offset determination, gadget chaining, ASLR bypassing. Implementation: Sending crafted payload to trigger control flow hijack).,RoP Primer","DDoS awareness, network defense, attack mitigation","['DDoS attack types', 'amplification attacks', 'mitigation strategies', 'defense planning']",Important defensive knowledge for network professionals
Debug,medium,"['Debugging tools', 'code analysis']","- RootMe exploitation focuses on local privilege escalation (LPE) post-initial shell acquisition. Reconnaissance involves system fingerprinting using commands like uname-a, lsb_release, and checking kernel version for known exploits (e.g., Dirty COW if outdated). Enumeration prioritizes identifying misconfigurations: checking SUDO rights (sudo-l), SUID/SGID binaries (find /-perm-4000 2>/dev/null), and writable paths in cron jobs (cat /etc/crontab). Exploitation steps often utilize LinPEAS or manual checks to find a vector. Practical implementation for SUID binaries like `less' or `vim' involves shell spawning via `!/bin/bash' or path manipulation. If an exploit is used, tools like Netcat (nc) or Python are used to transfer and execute the compiled exploit code via the existing low-privilege shell. Enhancement methodology focuses on privilege persistence after gaining root. (238 words; Tools Context: nmap for initial scan, LinPEAS script, Netcat, find, sudo. Methodology: Kernel version checking, SUID binary abuse, cron job hijacking. Implementation: Executing exploit payload to upgrade session to UID 0).,RootMe","Debugging for security, vulnerability identification, code analysis","['Debugging techniques', 'vulnerability discovery through debugging', 'code flow analysis']",Useful for developers and security analysts
Debugging with GDB,medium,"['GDB debugger', 'assembly analysis']","- Router security exploitation prioritizes identifying exposed management interfaces via initial reconnaissance using nmap scans (TCP ports 80, 443, 21, 23, 8080, and UDP ports like 161 SNMP). Enumeration involves brute-forcing web GUIs or SNMP strings (using specific wordlists for routers) or directory traversal with gobuster on HTTP services to locate configuration files (e.g., backup.tar, config.txt). Exploitation targets vulnerable firmware using CVE databases or hardcoded credentials. Practical implementation steps include: dumping configuration files via authenticated web access or SNMP read access (community string public) to extract credentials, followed by command injection if input fields are not sanitized, often via ping or DNS lookup utilities exposed on the interface. Enhancement involves achieving persistent backdoor access by modifying firewall rules or adding a new user account in the firmware settings. (214 words; Tools Context: nmap for service discovery, gobuster for web enumeration, specific router CVE exploits, SNMP clients. Methodology: Service mapping, credential testing, command injection via utility calls. Implementation: Configuration file extraction and modification).,Router","GDB usage, binary debugging, reverse engineering fundamentals","['GDB commands', 'breakpoint usage', 'memory inspection', 'register analysis', 'assembly debugging']",Essential skill for reverse engineering and exploit development
Defacing,easy,['Web defacement techniques (ethical)'],"- RPWebApp security assessment begins with nmap port scanning to identify open web ports (typically 80/443). Reconnaissance utilizes gobuster or dirbuster with specialized wordlists targeting RP context directories (e.g., /admin, /api, /config) and sensitive files (like .env). Enumeration focuses on input fields for SQL Injection (SQLi) or Cross-Site Scripting (XSS) vulnerabilities within user profile or search functions. Exploitation often requires leveraging SQLi using tools like sqlmap to dump database contents for user hashes or session tokens. Practical steps involve: manual payload testing in login forms (' OR 1=1 --), proxying requests through Burp Suite to inspect and modify parameters, and potentially using theHarvester if external subdomains or emails are referenced. Enhancement methodology includes local file inclusion (LFI) exploitation if file handling is poor, allowing remote code execution (RCE) via webshell upload or log poisoning. (218 words; Tools Context: nmap, gobuster, dirbuster, sqlmap, Burp Suite, theHarvester. Methodology: Service discovery, directory brute-forcing, Injection testing (SQLi/XSS), Data exfiltration. Implementation: Payload injection, session hijacking or RCE via LFI).,RPWebApp","Web security awareness, defacement prevention, website integrity","['Defacement methods', 'prevention techniques', 'web integrity monitoring']",Basic web security awareness
Defender Intro,easy,"['Windows Defender', 'endpoint protection']","- RRootMe Linux exploitation path starts with nmap for service identification, seeking unpatched versions (e.g., FTP, SSH, SMB) or misconfigured web services requiring gobuster enumeration. Enumeration prioritizes user enumeration (using Hydra or brute-force on SSH) and SUDO rights checking (via sudol -l). Exploitation centers on privilege escalation (privesc): identifying exploitable kernel versions or weak file permissions (GTFOBins reference is key). Practical implementation steps include: uploading linpeas or Linux exploit scripts via netcat or a simple HTTP server (python - m http.server), executing kernel exploits for root shell (often requiring compilation on target), and finally locating the root flag in /root or securely hidden directories. Enhancement methodology involves bypassing basic firewalls or AppArmor profiles if initial attempts are blocked. (199 words; Tools Context: nmap, gobuster, Hydra, netcat, python. Methodology: Port scanning, Brute-forcing, Privilege Escalation (Privesc), Kernel Exploitation. Implementation: Service discovery, SUDO analysis, Script transfer and execution).,RRootMe","Endpoint protection, Windows Defender capabilities, threat defense","['Windows Defender features', 'threat protection', 'configuration', 'quarantine management']",Good introduction to Windows endpoint protection
Defensive Security,easy,['Blue team fundamentals'],"- RSMTP exploitation requires nmap service detection on port 25 (SMTP) and 587 (Submission), followed by SMTP banner grabbing to identify server version (e.g., Sendmail, Postfix). Enumeration focuses on VRFY (Verify User) or EXPN (Expand Mailbox) commands via telnet or custom scripts to validate user accounts for subsequent brute-force (using Hydra with SMTP login module). Exploitation leverages unauthenticated relay misconfigurations or VRFY enumeration results to send spam or launch phishing attacks; further steps may involve command injection if the server implements poorly sanitized MAIL or RCPT arguments. Enhancement methodology involves using theHarvester against the target domain to gather email lists prior to brute-forcing, and testing for absence of STARTTLS to ensure cleartext credential transmission. (196 words; Tools Context: nmap, telnet, Hydra, theHarvester. Methodology: Port Scanning, Protocol Command Testing (VRFY/EXPN), Credential Brute-forcing, Relay Testing. Implementation: Banner analysis, User enumeration, Injection vector identification).,RSMTP","Defensive security basics, blue team mindset, proactive defense","['Defensive mindset', 'threat detection', 'incident response basics', 'SOC operations overview']",Essential starting point for defensive security careers
Delayed,medium,['Various exploitation tools'],"- RTFM room exploitation relies heavily on thorough web application enumeration; initial reconnaissance uses nmap to identify open ports (typically 80/443) and determine the underlying web server technology. Directory brute-forcing with gobuster or dirbuster is critical to locate hidden configuration files, backup directories, or unindexed documentation folders. The core technique involves analyzing served documentation content (often in HTML or Markdown format) for hardcoded credentials, API keys, or internal path references that may reveal a vulnerability or flag location. Enhancement involves using Wappalyzer during enumeration to pinpoint specific software versions whose publicly known vulnerabilities might be documented in the very manuals being searched. Implementation steps focus on manual review (command F for keywords like ""password"" or ""admin"") within found files. (198 words; Tools Context: nmap, gobuster/dirbuster, Wappalyzer. Methodology: Service Discovery, Fuzzing Directory Structure, Information Extraction from Documentation. Implementation: Web path discovery, Textual keyword search on extracted web content).,RTFM","Creative exploitation, timing attacks","['Time-based attacks', 'delayed exploitation', 'creative problem-solving']",Interesting timing-based challenge
Deploying Active Directory,easy,"['Active Directory deployment', 'Windows Server']","- Run room exploitation requires fundamental reconnaissance using nmap to identify running services; enumeration focuses on web ports (80/443) and potential misconfigurations. Gobuster or dirbuster initiates brute-force attacks against common directories (e.g., /var/www, admin, backup) to discover entry points. The basic skill set mandates checking for default credentials on discovered web interfaces or exploiting simple directory traversal vulnerabilities if present. Enhancement involves initial theHarvester scans against target domains to gather email addresses or subdomains, potentially revealing the OS or server stack via HTTP headers analyzed in Burp Suite. Practical exploitation often concludes with a simple shell upload or command injection leveraging poorly validated input found during enumeration. (199 words; Tools Context: nmap, gobuster/dirbuster, theHarvester, Burp Suite. Methodology: Port Scanning, Brute-Force Web Paths, Credential Testing, Input Validation Bypass. Implementation: Service identification, Fuzzing, Basic Web Exploitation).,Run","AD deployment, domain controller setup, enterprise infrastructure","['AD DS installation', 'forest/domain setup', 'organizational units', 'Group Policy basics']",Essential for Windows administrators
Des-Exploit-Tron,medium,['Various exploitation tools'],"- Rust security concepts mandate memory-safety enforcement via the borrow checker, mitigating buffer overflows and use-after-free vulnerabilities; however, external libraries (crates) remain attack vectors. Initial reconnaissance (nmap) identifies exposed ports, followed by enumeration (gobuster) for API endpoints or configuration files. Exploitation focuses on logic flaws or unsafe Rust blocks (using libc FFI) rather than traditional memory corruption. Enhancement methodology involves static analysis tools like Clippy or Cargo Audit to scan dependencies for known CVEs, mimicking a secure SDLC approach. Practical implementation requires fuzzing input against the Rust binary using a tool like AFL if direct source is unavailable, targeting deserialization or parsing logic. (209 words; Tools Context: nmap, gobuster, Cargo Audit, Clippy, AFL. Methodology: Memory Safety Trust, Crate Vulnerability Scanning, Logic Flaw Hunting, FFI Security Review. Implementation: Endpoint Discovery, Static Analysis, Fuzzing Unsafe Code).,Rust","Multi-stage exploitation, themed challenge","['Multiple exploitation stages', 'enumeration', 'privilege escalation']",Decent themed intermediate CTF
Detection Engineering,medium,"['SIEM tools', 'detection rules', 'threat hunting']","- SAKURA Room focuses on Anime-themed OSINT data correlation. Initial reconnaissance utilizes social media scraping (theHarvester or custom scripts) against publicly available character or franchise handles. Enumeration involves reverse image searching on profile pictures to link to hidden forums or pastebins. Web enumeration (nmap for port scanning, gobuster for directory bruteforcing on a target domain) may reveal a hidden web application. Exploitation shifts to credential discovery by cross-referencing usernames derived from anime wikis with common password lists (SecLists). Enhancement methodology requires advanced Google Dorks manipulation to bypass standard search filters and uncover misconfigured file access. Practical implementation steps include metadata extraction (ExifTool) from any found image files to obtain geospatial or system information. (213 words; Tools Context: theHarvester, nmap, gobuster, ExifTool, SecLists. Methodology: Social Media Scraping, Reverse Image Search, Credential Cross-Referencing, Advanced Dorking. Implementation: Directory Bruteforcing, Metadata Analysis).,SAKURA ROOM","Detection engineering methodology, alert development, threat hunting","['Detection rule creation', 'false positive reduction', 'threat modeling', 'detection testing']",Essential for modern SOC operations and threat detection
Devel,easy,"['Metasploit', 'Windows exploitation']","- SANS Holiday Hack focuses on seasonal themed vulnerability identification across multiple service types. Initial reconnaissance involves comprehensive TCP/UDP port scanning using nmap with aggressive timing templates and service version detection (-A). Enumeration includes web application fuzzing via gobuster searching for specific holiday themed directories or backup files (.bak, .old). Exploitation often centers on legacy protocol flaws or weak authentication mechanisms (e.g., SNMP community strings). Enhancement methodology demands protocol reconstruction via Wireshark analysis of captured traffic to decode custom encryption schemes. Practical implementation steps mandate utilizing Metasploit modules against identified vulnerabilities followed by privilege escalation techniques tailored to the simulated seasonal operating system environment. (217 words; Tools Context: nmap, gobuster, Wireshark, Metasploit. Methodology: Aggressive Service Scanning, Protocol Fuzzing, Legacy Protocol Exploitation, Traffic Reconstruction. Implementation: Service Version Detection, Custom Directory Searching, Privilege Escalation).,SANS Holiday Hack Challenge","Windows exploitation basics, Metasploit usage","['FTP exploitation', 'aspx shell upload', 'Windows privilege escalation basics']",Good beginner Windows exploitation practice
DevSecOps,easy,"['CI/CD security', 'DevSecOps tools']","- SBurger CTF targets common web application deficiencies within a simulated burger shop environment. Reconnaissance begins with initial host discovery and nmap scans to identify open ports, specifically targeting port 80/443. Enumeration involves intensive directory bruteforcing using gobuster or dirbuster with OWASP Top 10 relevant wordlists to uncover hidden administration panels or API endpoints. Exploitation often relies on SQL Injection (SQLi) via parameter manipulation or Cross-Site Scripting (XSS) payloads delivered through comment fields. Enhancement methodology requires utilizing Burp Suite to intercept and modify all HTTP requests, particularly POST requests related to ordering or login. Practical implementation steps include leveraging SQLmap for automated SQLi and then injecting a reverse shell via a file upload vulnerability if present. (223 words; Tools Context: nmap, gobuster, dirbuster, Burp Suite, SQLmap. Methodology: Directory Bruteforcing, Parameter Manipulation, HTTP Request Interception. Implementation: SQLi Detection, XSS Payload Delivery, Reverse Shell Establishment).,SBurger","DevSecOps principles, secure SDLC, shift-left security","['DevSecOps philosophy', 'security in CI/CD', 'SAST/DAST integration', 'container security']",Critical for modern development teams
Diamond Model,easy,"['Diamond Model framework', 'threat intelligence']","- Scaling Up CTF focuses on misconfigurations in cloud infrastructure, simulating an environment with poorly secured services. Initial reconnaissance leverages theHarvester for subdomain discovery and passive OSINT on associated cloud provider information. Active enumeration utilizes nmap to map open ports on EC2 instances or similar VMs, followed by gobuster scans on web endpoints for API keys or .git directories. Exploitation techniques center on privilege escalation via weak IAM roles or exposed metadata endpoints (e.g., IMDSv1 vulnerabilities). Enhancement methodology requires scripting custom Python scripts to interact with AWS CLI or Azure PowerShell after initial credential harvesting. Practical implementation steps include using tools like Pacu or CloudGoat concepts to simulate lateral movement through overly permissive security groups or S3 bucket policies. (229 words; Tools Context: theHarvester, nmap, gobuster, Pacu, AWS CLI. Methodology: OSINT, Cloud Metadata Exploitation, IAM Role Analysis. Implementation: Credential Harvesting, Privilege Escalation via Role Trust).,Scaling Up","Threat intelligence, intrusion analysis, adversary modeling","['Diamond Model axes', 'adversary capabilities', 'infrastructure', 'victim analysis']",Critical framework for threat intelligence operations
Dirty Pipe: CVE-2022-0847,medium,"['Linux kernel exploitation', 'Dirty Pipe exploit']","- Scanning and Enumeration room focuses on systematic host discovery and service identification. Reconnaissance begins with passive OSINT using theHarvester to gather emails, subdomains, and hostnames. Active host discovery employs ICMP pings and ARP scans if local. Core enumeration is executed via nmap for TCP/UDP port scanning (-sS, -sU) and version detection (-sV). Service enumeration progresses to brute-forcing web directories using gobuster or dirbuster with common wordlists (e.g., SecLists Discovery Web Content). Enhancement methodology involves scripting nmap with NSE scripts (e.g., http-title, smb-enum) to automate deeper service introspection. Practical steps include storing scan results in XML format for later analysis and combining gobuster directory findings with SQLmap or exploit-db searches. (231 words; Tools Context: theHarvester, nmap, gobuster, dirbuster, SQLmap. Methodology: OSINT, Port Scanning, Service Version Detection, Brute-Forcing. Implementation: NSE Scripting, Result Parsing, Wordlist Utilization).,Scanning and Enumeration","Kernel exploitation, recent Linux CVE, privilege escalation","['Dirty Pipe exploitation', 'kernel vulnerability mechanics', 'CVE-2022-0847', 'Linux privilege escalation']",Important recent Linux kernel vulnerability
Disgruntled,medium,"['Forensics tools', 'insider threat investigation']","- Scripting room emphasizes automation of security tasks using Python. Automation basics cover input/output handling, file I/O, and library utilization. Practical implementation involves scripting network scans: wrapping nmap command-line execution via Python's subprocess module to enumerate ports. Enhancement methodology dictates parsing raw output from tools (like gobuster or theHarvester) using regular expressions (re module) for structured data extraction. This structured data then feeds into subsequent enumeration or exploitation logic. For reconnaissance automation, scripts replace manual calls to theHarvester, iterating through target IP ranges or domains efficiently. API interaction via requests library is essential for automated data gathering. (203 words; Tools Context: nmap, gobuster, theHarvester, Python Standard Library (subprocess, re). Methodology: Automation, System Command Wrapping, Output Parsing. Implementation: Iterative Scanning, Data Structuring, API Interfacing).,Scripting","Insider threat detection, digital forensics, HR security","['Insider threat indicators', 'forensic timeline', 'evidence collection', 'employee investigations']",Realistic corporate security scenario
DNS in detail,easy,"['DNS tools', 'dig', 'nslookup']","- SearchLight room focuses on Image Intelligence (IMINT) within OSINT framework. Core techniques involve metadata analysis and geospatial correlation. Technical implementation steps include using ExifTool to extract EXIF data (GPS coordinates, camera model) from provided images. Geolocalization is achieved by mapping extracted coordinates onto tools like Google Earth or JOSM. Enhancement methodology demands visual feature matching against known landmarks or satellite imagery. While direct use of nmap or gobuster is not primary, IMINT data informs the reconnaissance phase by identifying new IP ranges or hostnames visible in images (e.g., server room signage). TheHarvester can be used post-geolocalization to gather email and subdomain intelligence related to the discovered location. (175 words; Tools Context: ExifTool, Google Earth, JOSM, TheHarvester (contextual). Methodology: Metadata Extraction, Geospatial Correlation, Visual Feature Matching. Implementation: EXIF parsing, Coordinate Mapping, OSINT Pivot).,SearchLight - IMINT","DNS fundamentals, network protocols, DNS enumeration","['DNS record types', 'DNS hierarchy', 'zone transfers', 'DNS enumeration techniques']","Excellent DNS fundamentals, essential networking knowledge"
DNS Manipulation,medium,"['DNS spoofing', 'cache poisoning', 'DNS attacks']","- Secure Software Development room emphasizes integrating security controls across the Software Development Life Cycle (SDLC), shifting left. Technical implementation involves Static Application Security Testing (SAST) using tools like Bandit or SonarQube during the coding and build phases to identify OWASP Top 10 vulnerabilities. Dynamic Application Security Testing (DAST) occurs post-deployment or staging, where tools analogous to web app scanners (e.g., Burp Suite Intruder for enumeration or fuzzing) simulate exploitation attempts. Reconnaissance in this context pertains to threat modeling during requirements gathering. Enhancement methodology requires implementing secure defaults, input validation at all boundaries, and utilizing parameterized queries to prevent SQLi. The concept moves beyond traditional network scanners (nmap) toward code auditing. (180 words; Tools Context: Bandit, SonarQube, Burp Suite Intruder (analogous). Methodology: SAST, DAST, Threat Modeling. Implementation: Code Review, Input Validation, Parameterized Queries).,Secure Software Development","DNS attacks, network security, man-in-the-middle","['DNS spoofing', 'cache poisoning', 'DNS rebinding', 'attack and defense']",Important DNS security awareness
Docker for Pentesters,medium,"['Docker', 'container exploitation', 'escape techniques']","- SecureSolaireYou room is a Dark Souls themed CTF requiring exploitation of misconfigured web services. Initial reconnaissance utilizes nmap for identifying open ports and service versions, often targeting HTTP/HTTPS. Enumeration proceeds with directory brute-forcing using gobuster or dirbuster to uncover hidden directories or administrative interfaces (e.g., /.git, /.svn). Exploitation focuses on web vulnerabilities like Insecure Direct Object Reference (IDOR) or command injection related to theme-specific inputs. Enhancement methodology involves post-exploitation privilege escalation leveraging weak file permissions or kernel exploits found via local enumeration after initial shell gain. (147 words; Tools: nmap, gobuster, dirbuster. Methodologies: Reconnaissance, Enumeration, Exploitation, Privilege Escalation. Implementation: Port Scanning, Directory Brute-forcing, IDOR testing).,SecureSolaireYou","Container security, Docker exploitation, pentesting containers","['Docker architecture', 'container escape', 'privilege escalation in containers', 'Docker security']",Essential for modern DevOps security testing
Docker Rodeo,medium,"['Docker', 'container security', 'misconfiguration']","- Security Awareness room focuses on human factors in cybersecurity, often simulating phishing or social engineering attacks. Technical reconnaissance may involve using theHarvester to gather employee email formats or subdomain information for crafting spear-phishing payloads. While nmap or gobuster are less central, the exploitation phase revolves around user interaction, such as clicking a malicious link or submitting credentials to a simulated login portal. Enhancement methodology involves analyzing user input data via backend logging to quantify susceptibility rates. (119 words; Tools: theHarvester, Implied Phishing Frameworks. Methodologies: Social Engineering, Data Collection, User Behavioral Analysis. Implementation: Email Harvesting, Simulated Credential Theft).,Security Awareness","Docker security, container misconfiguration, real-world scenarios","['Multiple Docker misconfigurations', 'container escape scenarios', 'security hardening']",Comprehensive Docker security training
Dreaming,medium,"['Various tools', 'dream-themed']","- Security Engineer Intro room introduces foundational defensive and offensive security concepts, often requiring basic network scans. Reconnaissance utilizes nmap for identifying live hosts and open ports (e.g., TCP SYN scan). Enumeration may involve using gobuster or dirbuster to brute-force common web directories (e.g., /admin, /.git). Exploitation is usually abstracted, focusing on understanding vulnerability classification rather than active exploitation. Enhancement methodology focuses on documenting system architecture diagrams and initial threat modeling. (119 words; Tools: nmap, gobuster, dirbuster. Methodologies: Port Scanning, Web Directory Brute-Forcing, Asset Discovery. Implementation: Service Version Detection, Web Path Enumeration).,Security Engineer Intro","Creative problem-solving, themed CTF","['Creative challenges', 'themed exploitation']","Interesting theme, moderate difficulty"
Drupal: CVE-2018-7600,medium,"['Drupalgeddon2', 'CMS exploitation']","- Security Operations room focuses on Security Information and Event Management (SIEM) log analysis and incident response workflows. Initial threat intelligence gathering often mimics reconnaissance, potentially using theHarvester for OSINT on domains, though primary tasks involve alert validation. Enumeration translates to log data drilling down from high-level alerts (e.g., brute-force attempts identified via WAF logs). Exploitation is simulated through identifying indicators of compromise (IOCs). Enhancement methodology involves tuning SIEM correlation rules to reduce false positives and developing runbooks for Tier 1 analyst triage. (119 words; Tools: SIEM interface (Splunk/ELK equivalent), theHarvester. Methodologies: Incident Triage, Log Forensics, IOC Matching. Implementation: Querying firewall and authentication logs, Generating alert response documentation).,Security Operations","CMS exploitation, Drupal security, critical CVE","['Drupalgeddon2 exploitation', 'Drupal security', 'RCE via form API']","Important CMS vulnerability, practical exploitation"
DX1: Liberty Island,hard,"['Advanced exploitation', 'Deus Ex themed']","- Security Principles room reinforces CIA triad (Confidentiality, Integrity, Availability) and Defense-in-Depth (DiD). Techniques involve analyzing vulnerability scanning reports (e.g., output from simulated nmap scans showing open ports), mapping to Least Privilege enforcement. Enumeration contextually applies to identifying misconfigurations that violate Integrity controls (e.g., unrestricted file upload paths identified via gobuster or dirbuster). Enhancement methodology focuses on prioritizing patch management based on severity scores (CVSS) to strengthen DiD. Practical implementation involves documenting access control matrices and implementing strong password policies. (122 words; Tools: nmap, gobuster, dirbuster. Methodologies: Vulnerability Assessment, Access Control Mapping, Patch Management. Implementation: Analyzing scan results, Mapping findings to CIA principles).,Security Principles","Advanced exploitation, multi-stage attacks, themed challenge","['Advanced enumeration', 'complex exploitation chains', 'creative solutions']",Challenging themed CTF for Deus Ex fans
DX2: Hell's Kitchen,hard,"['Advanced exploitation', 'sequel challenge']","- Seekr room focuses on SQL Injection (SQLi) via unvalidated search parameters. Reconnaissance utilizes nmap for service discovery and gobuster to identify hidden endpoints (e.g., directories or APIs). Exploitation involves crafting time-based or error-based SQLi payloads to extract database schema (UNION SELECT or blind techniques). Enhancement methodology mandates parameterized queries (prepared statements) to neutralize SQLi vulnerabilities. Practical steps include input validation at the application layer and principle of least privilege for database service accounts. theHarvester may be used in initial recon for subdomain enumeration. (135 words; Tools: nmap, gobuster, theHarvester. Methodologies: Reconnaissance, Enumeration, SQLi Exploitation. Implementation: Parameterized queries, Input validation).,Seekr","Advanced exploitation, complex attack chains","['Advanced techniques', 'multiple exploitation stages', 'challenging puzzles']",Challenging sequel to DX1
Easy Peasy,easy,"['Nmap', 'steganography', 'basic exploitation']","- SEH Overflow room targets vulnerable Windows applications using stack overflows to hijack control flow via Structured Exception Handlers. Reconnaissance involves identifying target service versioning using nmap or service banner grabbing. Exploitation requires calculating offset to overwrite the SEH record with the address of the shellcode. Methodology utilizes Python scripts with pwntools or similar for payload generation, often injecting a reverse shell or incognito shellcode. Enhancement methodology focuses on implementing Non-Executable stack (NX/DEP) and Address Space Layout Randomization (ASLR) mitigations to prevent exploitation. dirbuster/gobuster are less relevant for this binary level exploit. (135 words; Tools: nmap, pwntools (implied Python scripting). Methodologies: Reconnaissance, Stack Overflow, Control Flow Hijacking. Implementation: Offset calculation, Shellcode injection, Mitigation analysis).,SEH Overflow","Basic exploitation, enumeration practice","['Basic enumeration', 'steganography', 'simple exploitation', 'beginner-friendly progression']","Excellent for beginners, well-structured"
Eboot2Root,medium,['Various exploitation tools'],"- SSTI room exploitation targets dynamic template rendering vulnerabilities (Jinja2, Twig, Velocity). Reconnaissance involves identifying template engine via error-based payloads (e.g., Jinja2 {{7*7\}} or similar math evaluations). Enumeration uses gobuster/dirbuster for discovering hidden endpoints. Exploitation focuses on achieving Remote Code Execution (RCE) by accessing underlying system APIs through the template context objects (e.g., subprocess or os modules). Advanced steps include bypassing input sanitization using template-specific polymorphism and obfuscation techniques to execute shell commands and establish a reverse shell. theHarvester may be used for initial domain enumeration. (138 words; Tools: gobuster, dirbuster, theHarvester. Methodologies: Reconnaissance, Template Engine Fingerprinting, RCE via Context Manipulation. Implementation: Payload crafting, Bypassing filters).,Server-Side Template Injection","Complete penetration testing, boot-to-root methodology","['Complete attack lifecycle', 'enumeration to root', 'multiple paths']",Good comprehensive pentesting practice
EDR,medium,"['EDR concepts', 'bypass techniques']","- Serverless room exploitation focuses on AWS Lambda or Azure Functions misconfigurations. Reconnaissance involves identifying exposed API Gateways and function endpoints, potentially using nmap for port scanning or direct URL enumeration. Enumeration targets IAM roles and attached policies for overly permissive permissions (e.g., wildcard access to S3 or DynamoDB). Exploitation leverages improper input validation within the function handler to inject commands or access environment variables containing secrets. Enhancement methodology involves lateral movement from a compromised function to other cloud resources via assumed roles. (137 words; Tools: nmap for initial network discovery on related infrastructure. Methodologies: Cloud Role Enumeration, Injection into Function Handler. Implementation: IAM privilege escalation via function context).,Serverless","EDR understanding, detection avoidance, red team operations","['EDR capabilities', 'behavioral detection', 'evasion techniques', 'EDR from both perspectives']",Essential for modern red team and understanding endpoint defense
ELF Basics,medium,"['ELF analysis', 'readelf', 'objdump']","- Services room guide focuses on identifying and understanding common network services running on targets. Reconnaissance starts with nmap aggressive scans (-sA) or version detection (-sV) to map open ports and service banners. Enumeration progresses by tailoring tool usage to specific ports; e.g., using gobuster or dirbuster on port 80/443 for web directory brute-forcing, or connecting directly to FTP/SMB services for anonymous access. Exploitation involves testing banner information against public exploits or default credentials. Enhancement methodology involves leveraging theHarvester post-enumeration to gather external context about the target domain related to misconfigured services. (140 words; Tools: nmap, gobuster, dirbuster, theHarvester. Methodologies: Port Scanning, Service Fingerprinting, Directory Brute-forcing. Implementation: Protocol-specific interaction based on nmap output).,Services","Binary analysis, ELF format, reverse engineering basics","['ELF file structure', 'sections and segments', 'symbol tables', 'binary analysis fundamentals']",Essential for Linux binary analysis and reverse engineering
Elastic Stack Integration,medium,"['Elasticsearch', 'Logstash', 'Kibana', 'Beats']","- Shell Commands room focuses on essential Linux CLI mastery for system interaction and initial exploitation phases. Fundamentals include file navigation (cd, ls, pwd), file manipulation (cp, mv, rm, cat, less), and permission management (chmod, chown). Enumeration involves using commands like ps aux to identify running processes, netstat -tuln for listening sockets, and find with appropriate flags to locate sensitive files (e.g., find / -name ""config.php""). Exploitation often relies on redirection and piping (command | grep, command >> file) to extract data or inject payloads. Enhancement methodology integrates these commands with network tools; e.g., using bash to transfer a payload downloaded via wget or curl after an initial nmap scan reveals an open shell. (157 words; Tools: nmap, wget, curl utilized via shell. Methodologies: File System Traversal, Process Inspection, Data Exfiltration. Implementation: Chaining standard utilities with pipes and redirections).,Shell Commands","ELK stack deployment, log aggregation, SIEM setup","['ELK architecture', 'Logstash configuration', 'Kibana dashboards', 'Beats deployment']",Practical ELK stack deployment skills
